Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence,Age_Midpoint,Risk_Index,Protection_Index,Net_Risk,High_Peer_Influence,High_Media_Influence,High_Risk_Index,Smoking_Prevalence_scaled,Drug_Experimentation_scaled,Peer_Influence_scaled,Family_Background_scaled,Mental_Health_scaled,Parental_Supervision_scaled,Community_Support_scaled,Media_Influence_scaled,High_Peer_Influence_scaled,High_Media_Influence_scaled,High_Risk_Index_scaled
2024,15-19,Both,18.85,32.4,High,5,Yes,1,5,No,4,No,3,1,17.0,-0.8611762216955491,-0.9968070530209938,0.13563083132544473,0,0,0,-0.661991310966829,-0.4424872238339905,-0.15371947114824155,-1.5753806226818865,-0.16317135532303248,-0.5284693446816314,-0.8865711916994635,-1.5686329722428567,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
2024,10-14,Female,34.88,41.57,High,6,Yes,10,5,No,9,Yes,9,3,12.0,-0.3384292028071627,1.323605512595307,-1.6620347154024697,0,0,0,0.5734730271940002,0.08106278345070243,0.19556358076778094,1.566095814545193,-0.16317135532303248,1.2008151601666393,1.2039055630740887,-0.8724219863821063,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
2023,10-14,Both,42.0,56.8,High,6,Yes,2,7,Yes,2,No,5,1,12.0,-0.6865346957375379,-0.8787521462026989,0.19221745046516103,0,0,0,1.1222257463271943,0.9506011270653011,0.19556358076778094,-1.226327685212211,0.5314704297899194,-1.2201831466209396,-0.1897456067749461,-1.5686329722428567,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
2024,40-49,Both,33.75,42.9,Middle,10,No,9,7,Yes,2,No,10,9,44.5,1.404453379816008,0.5163926953303085,0.8880606844856994,1,1,1,0.4863816546349397,0.15699751733168832,1.5926957884318709,1.2170428770755175,0.5314704297899194,-1.2201831466209396,1.5523183555363476,1.216210971200145,2.05274556091395,2.0006252149329002,1.771259541706893
2023,15-19,Male,47.9,39.62,High,1,No,2,4,Yes,4,No,10,3,17.0,-1.2116368325972189,-0.0674928914524983,-1.1441439411447205,0,0,0,1.5769506119010488,-0.030270097051495214,-1.5508516788123314,-1.226327685212211,-0.5104922478795085,-0.5284693446816314,1.5523183555363476,-0.8724219863821063,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
2022,70-79,Male,20.14,47.29,High,10,Yes,7,4,No,4,No,4,2,74.5,0.18608415455969463,-0.1825635805942232,0.3686477351539178,1,0,0,-0.5625684166294947,0.407639232923815,1.5926957884318709,0.5189370021361666,-0.5104922478795085,-0.5284693446816314,-0.5381583992372048,-1.2205274793124816,2.05274556091395,-0.4998437451132192,-0.5645700003040434
2021,30-39,Female,38.38,26.6,Low,4,No,7,1,Yes,2,No,4,10,34.5,0.5306569705331281,-0.41313484790732596,0.9437918184404541,0,1,0,0.8432250660937446,-0.7736311760969367,-0.5030025230642641,0.5189370021361666,-1.5524549255489364,-1.2201831466209396,-0.5381583992372048,1.5643164641305203,-0.4871524357625534,2.0006252149329002,-0.5645700003040434
2022,10-14,Female,7.87,54.67,Middle,5,Yes,9,2,No,4,No,4,2,12.0,-0.6871234752303615,0.05013837771889377,-0.7372618529492553,0,0,0,-1.5082419930008841,0.8289913652859779,-0.15371947114824155,1.2170428770755175,-1.2051340329924605,-0.5284693446816314,-0.5381583992372048,-1.2205274793124816,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
2021,70-79,Both,11.61,63.65,Low,9,Yes,1,6,Yes,5,Yes,2,6,74.5,0.7076536144624338,-0.9976590168518621,1.705312631314296,1,0,1,-1.2199926714337288,1.3416935534448153,1.2434127365158483,-1.5753806226818865,0.1841495372334435,-0.18261244371197724,-1.2349839841617223,0.17189449240901938,2.05274556091395,-0.4998437451132192,1.771259541706893
2020,60-69,Female,23.98,17.62,Low,2,No,3,6,Yes,5,Yes,9,9,64.5,0.007321172151917965,0.048006123873191996,-0.04068495172127403,0,1,0,-0.26661189395091806,-1.2863333642557744,-1.201568626896309,-0.8772747477425354,0.1841495372334435,-0.18261244371197724,1.2039055630740887,1.216210971200145,-0.4871524357625534,2.0006252149329002,-0.5645700003040434
2020,40-49,Male,42.85,66.66,High,5,No,5,3,No,9,No,2,10,44.5,0.7052984964911394,-0.07111256559942247,0.7764110620905619,0,1,1,1.1877369557742752,1.51354584591231,-0.15371947114824155,-0.17916887280318447,-0.8578131404359844,1.2008151601666393,-1.2349839841617223,1.5643164641305203,-0.4871524357625534,2.0006252149329002,1.771259541706893
2022,50-59,Both,48.72,11.41,High,2,No,8,3,Yes,10,No,10,4,54.5,-0.8629425601740202,1.322326785426161,-2.1852693456001813,0,0,0,1.6401496610147033,-1.6408857683166187,-1.201568626896309,0.867989939605842,-0.8578131404359844,1.5466720611362934,1.5523183555363476,-0.5243164934517311,-0.4871524357625534,-0.4998437451132192,-0.5645700003040434
